№,Назва,Одиниця,Бал,Результат
1,метання медболу,м,50,"7,10"
1,метання медболу,м,45,"6,90"
1,метання медболу,м,40,"6,70"
1,метання медболу,м,35,"6,50"
1,метання медболу,м,33,"6,30"
1,метання медболу,м,31,"6,10"
1,метання медболу,м,29,"5,90"
1,метання медболу,м,27,"5,70"
1,метання медболу,м,25,"5,50"
1,метання медболу,м,23,"5,30"
1,метання медболу,м,21,"5,10"
1,метання медболу,м,18,"5,00"
1,метання медболу,м,15,"4,80"
1,метання медболу,м,13,"4,60"
1,метання медболу,м,11,"4,40"
1,метання медболу,м,9,"4,00"
1,метання медболу,м,7,"3,80"
14,комплексна силова вправа,рази,50,71
14,комплексна силова вправа,рази,49,70
14,комплексна силова вправа,рази,48,69
14,комплексна силова вправа,рази,47,68
14,комплексна силова вправа,рази,46,67
14,комплексна силова вправа,рази,45,66
14,комплексна силова вправа,рази,44,65
14,комплексна силова вправа,рази,43,64
14,комплексна силова вправа,рази,42,63
14,комплексна силова вправа,рази,41,62
14,комплексна силова вправа,рази,40,61
14,комплексна силова вправа,рази,39,60
14,комплексна силова вправа,рази,38,59
14,комплексна силова вправа,рази,37,58
14,комплексна силова вправа,рази,36,57
14,комплексна силова вправа,рази,35,56
14,комплексна силова вправа,рази,34,55
14,комплексна силова вправа,рази,33,54
14,комплексна силова вправа,рази,32,53
14,комплексна силова вправа,рази,31,52
14,комплексна силова вправа,рази,30,51
14,комплексна силова вправа,рази,29,50
14,комплексна силова вправа,рази,28,49
14,комплексна силова вправа,рази,27,48
14,комплексна силова вправа,рази,26,47
14,комплексна силова вправа,рази,25,46
14,комплексна силова вправа,рази,24,45
14,комплексна силова вправа,рази,23,44
14,комплексна силова вправа,рази,22,43
14,комплексна силова вправа,рази,21,42
14,комплексна силова вправа,рази,20,41
14,комплексна силова вправа,рази,19,40
14,комплексна силова вправа,рази,18,39
14,комплексна силова вправа,рази,17,38
14,комплексна силова вправа,рази,16,37
14,комплексна силова вправа,рази,15,36
14,комплексна силова вправа,рази,14,34
14,комплексна силова вправа,рази,13,32
14,комплексна силова вправа,рази,12,30
14,комплексна силова вправа,рази,11,28
14,комплексна силова вправа,рази,10,26
14,комплексна силова вправа,рази,9,24
14,комплексна силова вправа,рази,8,22
14,комплексна силова вправа,рази,7,20
14,комплексна силова вправа,рази,6,18
2,підтягування на перекладині,рази,50,30
2,підтягування на перекладині,рази,49,29
2,підтягування на перекладині,рази,48,28
2,підтягування на перекладині,рази,47,27
2,підтягування на перекладині,рази,46,26
2,підтягування на перекладині,рази,45,25
2,підтягування на перекладині,рази,44,24
2,підтягування на перекладині,рази,43,23
2,підтягування на перекладині,рази,42,22
2,підтягування на перекладині,рази,41,21
2,підтягування на перекладині,рази,40,20
2,підтягування на перекладині,рази,39,19
2,підтягування на перекладині,рази,38,18
2,підтягування на перекладині,рази,37,17
2,підтягування на перекладині,рази,36,16
2,підтягування на перекладині,рази,35,15
2,підтягування на перекладині,рази,33,14
2,підтягування на перекладині,рази,30,13
2,підтягування на перекладині,рази,28,12
2,підтягування на перекладині,рази,26,11
2,підтягування на перекладині,рази,24,10
2,підтягування на перекладині,рази,22,9
2,підтягування на перекладині,рази,20,8
2,підтягування на перекладині,рази,18,7
2,підтягування на перекладині,рази,16,6
2,підтягування на перекладині,рази,14,5
2,підтягування на перекладині,рази,12,4
2,підтягування на перекладині,рази,10,3
2,підтягування на перекладині,рази,8,2
2,підтягування на перекладині,рази,6,1
28,біг на 100 м,с,50,"12,3"
28,біг на 100 м,с,49,"12,4"
28,біг на 100 м,с,48,"12,5"
28,біг на 100 м,с,47,"12,6"
28,біг на 100 м,с,46,"12,7"
28,біг на 100 м,с,45,"12,8"
28,біг на 100 м,с,44,"12,9"
28,біг на 100 м,с,43,"13,0"
