Стать,Група,Категорія,Пороговий мінімум,5,4,3
чоловіки,1,1,21,100,90,75
чоловіки,1,2,15 (21*),90,80,65
чоловіки,1,3,14 (20*),85,75,60
чоловіки,1,4,14 (20*),90,80,65
чоловіки,2,1,21,100,90,75
чоловіки,2,2,15 (21*),95,85,70
чоловіки,2,3,15 (21*),90,80,65
чоловіки,2,4,15 (21*),90,80,65
чоловіки,3,1,21,100,90,75
чоловіки,3,2,14 (20*),90,80,65
чоловіки,3,3,14 (20*),85,75,60
чоловіки,3,4,14 (20*),85,75,60
чоловіки,4,1,21,100,90,75
чоловіки,4,2,13 (18*),75,65,50
чоловіки,4,3,13 (18*),70,60,45
чоловіки,4,4,13 (18*),70,60,45
чоловіки,5,1,12 (16*),70,55,40
чоловіки,5,2,10 (11*),65,50,40
чоловіки,5,3,10 (11*),60,50,35
чоловіки,5,4,10 (11*),60,50,35
чоловіки,6,1,10 (11*),60,45,35
чоловіки,6,2,8 (8*),50,40,30
чоловіки,6,3,8 (8*),50,40,30
чоловіки,6,4,8 (8*),50,40,30
чоловіки,7,1,8 (8*),45,35,25
чоловіки,7,2,6 (6*),40,30,20
чоловіки,7,3,6 (6*),40,30,20

чоловіки,7,4,6 (6*),40,30,20

